GENESIS-Tabelle: Temporär
Studienanfänger: Deutschland, Semester, Nationalität,;;;;;;;;;
Geschlecht;;;;;;;;;
Statistik der Studenten;;;;;;;;;
Deutschland;;;;;;;;;
Studienanfänger (Anzahl);;;;;;;;;
;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt
;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
WS 1998/99;102924;94548;197472;15696;17502;33198;118620;112050;230670
WS 1999/00;107213;102210;209423;17661;19234;36895;124874;121444;246318
WS 2000/01;116997;109541;226538;19446;21311;40757;136443;130852;267295
WS 2001/02;127202;118391;245593;22269;24694;46963;149471;143085;292556
WS 2002/03;124201;125852;250053;23879;25717;49596;148080;151569;299649
WS 2003/04;140544;124771;265315;24596;26745;51341;165140;151516;316656
WS 2004/05;131033;120618;251651;23628;25514;49142;154661;146132;300793
WS 2005/06;130815;121184;251999;22823;25017;47840;153638;146201;299839
WS 2006/07;126408;120634;247042;22664;25240;47904;149072;145874;294946
WS 2007/08;134801;130375;265176;22457;25907;48364;157258;156282;313540
WS 2008/09;149455;143495;292950;24845;27830;52675;174300;171325;345625
WS 2009/10;158906;154396;313302;26291;29680;55971;185197;184076;369273
WS 2010/11;166713;159694;326407;28878;31636;60514;195591;191330;386921
WS 2011/12;205921;172735;378656;31785;34879;66664;237706;207614;445320
WS 2012/13;182374;173052;355426;34715;37684;72399;217089;210736;427825
WS 2013/14;184181;177702;361883;37589;39441;77030;221770;217143;438913
__________
(C)opyright Statistisches Bundesamt, Wiesbaden 2014
Stand: 06.11.2014 / 07:18:39
