GENESIS-Tabelle: Temporär
Studienanfänger: Deutschland, Semester, Nationalität,;;;;;;;;;;;
Geschlecht, Studienfach;;;;;;;;;;;
Statistik der Studenten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Studienanfänger (Anzahl);;;;;;;;;;;
;;;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt
;;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
WS 1998/99;SF221;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;SF079;Informatik;6636;966;7602;1041;327;1368;7677;1293;8970
WS 1998/99;SF123;Ingenieurinformatik/Technische Informatik;866;65;931;96;17;113;962;82;1044
WS 1998/99;SF121;Medieninformatik;284;74;358;17;10;27;301;84;385
WS 1998/99;SF247;Medizinische Informatik;57;53;110;4;4;8;61;57;118
WS 1998/99;SF277;Wirtschaftsinformatik;2292;387;2679;186;90;276;2478;477;2955
WS 1999/00;SF221;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1999/00;SF079;Informatik;8670;1421;10091;1281;491;1772;9951;1912;11863
WS 1999/00;SF123;Ingenieurinformatik/Technische Informatik;1016;117;1133;148;21;169;1164;138;1302
WS 1999/00;SF121;Medieninformatik;368;177;545;17;12;29;385;189;574
WS 1999/00;SF247;Medizinische Informatik;84;92;176;14;3;17;98;95;193
WS 1999/00;SF277;Wirtschaftsinformatik;2675;521;3196;204;93;297;2879;614;3493
WS 2000/01;SF221;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 2000/01;SF079;Informatik;11925;2188;14113;1982;715;2697;13907;2903;16810
WS 2000/01;SF123;Ingenieurinformatik/Technische Informatik;1154;98;1252;147;29;176;1301;127;1428
WS 2000/01;SF121;Medieninformatik;755;277;1032;21;14;35;776;291;1067
WS 2000/01;SF247;Medizinische Informatik;73;96;169;4;2;6;77;98;175
WS 2000/01;SF277;Wirtschaftsinformatik;3963;911;4874;292;159;451;4255;1070;5325
WS 2001/02;SF221;Bioinformatik;246;103;349;25;11;36;271;114;385
WS 2001/02;SF079;Informatik;10610;1520;12130;1993;860;2853;12603;2380;14983
WS 2001/02;SF123;Ingenieurinformatik/Technische Informatik;1254;85;1339;203;30;233;1457;115;1572
WS 2001/02;SF121;Medieninformatik;843;293;1136;42;22;64;885;315;1200
WS 2001/02;SF247;Medizinische Informatik;108;64;172;2;15;17;110;79;189
WS 2001/02;SF277;Wirtschaftsinformatik;3654;669;4323;309;183;492;3963;852;4815
WS 2002/03;SF221;Bioinformatik;215;107;322;29;15;44;244;122;366
WS 2002/03;SF079;Informatik;8340;1286;9626;1877;670;2547;10217;1956;12173
WS 2002/03;SF123;Ingenieurinformatik/Technische Informatik;1074;76;1150;202;42;244;1276;118;1394
WS 2002/03;SF121;Medieninformatik;936;323;1259;57;35;92;993;358;1351
WS 2002/03;SF247;Medizinische Informatik;71;57;128;22;15;37;93;72;165
WS 2002/03;SF277;Wirtschaftsinformatik;3127;592;3719;396;189;585;3523;781;4304
WS 2003/04;SF221;Bioinformatik;338;95;433;41;27;68;379;122;501
WS 2003/04;SF079;Informatik;8541;962;9503;1703;601;2304;10244;1563;11807
WS 2003/04;SF123;Ingenieurinformatik/Technische Informatik;1086;50;1136;188;44;232;1274;94;1368
WS 2003/04;SF121;Medieninformatik;1008;304;1312;112;40;152;1120;344;1464
WS 2003/04;SF247;Medizinische Informatik;103;71;174;10;24;34;113;95;208
WS 2003/04;SF277;Wirtschaftsinformatik;3278;497;3775;332;214;546;3610;711;4321
WS 2004/05;SF221;Bioinformatik;261;94;355;33;30;63;294;124;418
WS 2004/05;SF079;Informatik;7271;879;8150;1669;557;2226;8940;1436;10376
WS 2004/05;SF123;Ingenieurinformatik/Technische Informatik;953;49;1002;148;41;189;1101;90;1191
WS 2004/05;SF121;Medieninformatik;969;298;1267;91;54;145;1060;352;1412
WS 2004/05;SF247;Medizinische Informatik;104;70;174;7;16;23;111;86;197
WS 2004/05;SF277;Wirtschaftsinformatik;3135;529;3664;306;172;478;3441;701;4142
WS 2005/06;SF221;Bioinformatik;249;94;343;29;26;55;278;120;398
WS 2005/06;SF079;Informatik;7033;940;7973;1494;482;1976;8527;1422;9949
WS 2005/06;SF123;Ingenieurinformatik/Technische Informatik;888;50;938;139;32;171;1027;82;1109
WS 2005/06;SF121;Medieninformatik;1059;339;1398;104;60;164;1163;399;1562
WS 2005/06;SF247;Medizinische Informatik;108;59;167;17;10;27;125;69;194
WS 2005/06;SF277;Wirtschaftsinformatik;3066;530;3596;320;162;482;3386;692;4078
WS 2006/07;SF221;Bioinformatik;182;97;279;65;28;93;247;125;372
WS 2006/07;SF079;Informatik;6004;681;6685;1419;430;1849;7423;1111;8534
WS 2006/07;SF123;Ingenieurinformatik/Technische Informatik;1348;91;1439;194;44;238;1542;135;1677
WS 2006/07;SF121;Medieninformatik;1148;453;1601;94;50;144;1242;503;1745
WS 2006/07;SF247;Medizinische Informatik;87;73;160;5;12;17;92;85;177
WS 2006/07;SF277;Wirtschaftsinformatik;3157;533;3690;331;199;530;3488;732;4220
WS 2007/08;SF221;Bioinformatik;192;113;305;31;23;54;223;136;359
WS 2007/08;SF079;Informatik;6309;760;7069;1336;439;1775;7645;1199;8844
WS 2007/08;SF123;Ingenieurinformatik/Technische Informatik;1370;106;1476;162;47;209;1532;153;1685
WS 2007/08;SF121;Medieninformatik;1157;478;1635;78;48;126;1235;526;1761
WS 2007/08;SF247;Medizinische Informatik;96;61;157;6;7;13;102;68;170
WS 2007/08;SF277;Wirtschaftsinformatik;3718;627;4345;312;209;521;4030;836;4866
WS 2008/09;SF221;Bioinformatik;228;128;356;27;23;50;255;151;406
WS 2008/09;SF079;Informatik;6551;855;7406;1341;389;1730;7892;1244;9136
WS 2008/09;SF123;Ingenieurinformatik/Technische Informatik;1427;126;1553;162;44;206;1589;170;1759
WS 2008/09;SF121;Medieninformatik;1158;505;1663;101;65;166;1259;570;1829
WS 2008/09;SF247;Medizinische Informatik;140;101;241;12;20;32;152;121;273
WS 2008/09;SF277;Wirtschaftsinformatik;4434;1035;5469;434;233;667;4868;1268;6136
WS 2009/10;SF221;Bioinformatik;173;120;293;27;32;59;200;152;352
WS 2009/10;SF079;Informatik;6846;896;7742;1331;413;1744;8177;1309;9486
WS 2009/10;SF123;Ingenieurinformatik/Technische Informatik;1489;136;1625;212;55;267;1701;191;1892
WS 2009/10;SF121;Medieninformatik;1408;583;1991;126;89;215;1534;672;2206
WS 2009/10;SF247;Medizinische Informatik;152;96;248;30;28;58;182;124;306
WS 2009/10;SF277;Wirtschaftsinformatik;4900;1048;5948;419;253;672;5319;1301;6620
WS 2010/11;SF221;Bioinformatik;218;102;320;29;35;64;247;137;384
WS 2010/11;SF079;Informatik;7438;937;8375;1466;504;1970;8904;1441;10345
WS 2010/11;SF123;Ingenieurinformatik/Technische Informatik;1114;88;1202;150;43;193;1264;131;1395
WS 2010/11;SF121;Medieninformatik;1518;671;2189;120;84;204;1638;755;2393
WS 2010/11;SF247;Medizinische Informatik;178;133;311;24;46;70;202;179;381
WS 2010/11;SF277;Wirtschaftsinformatik;5296;1186;6482;470;271;741;5766;1457;7223
WS 2011/12;SF221;Bioinformatik;210;114;324;53;36;89;263;150;413
WS 2011/12;SF079;Informatik;9586;1239;10825;1604;556;2160;11190;1795;12985
WS 2011/12;SF123;Ingenieurinformatik/Technische Informatik;1476;149;1625;192;56;248;1668;205;1873
WS 2011/12;SF121;Medieninformatik;1728;752;2480;165;99;264;1893;851;2744
WS 2011/12;SF247;Medizinische Informatik;285;170;455;41;30;71;326;200;526
WS 2011/12;SF277;Wirtschaftsinformatik;6526;1445;7971;523;370;893;7049;1815;8864
WS 2012/13;SF221;Bioinformatik;184;125;309;47;23;70;231;148;379
WS 2012/13;SF079;Informatik;9318;1367;10685;1873;647;2520;11191;2014;13205
WS 2012/13;SF123;Ingenieurinformatik/Technische Informatik;1301;196;1497;252;66;318;1553;262;1815
WS 2012/13;SF121;Medieninformatik;1523;772;2295;161;107;268;1684;879;2563
WS 2012/13;SF247;Medizinische Informatik;262;206;468;42;61;103;304;267;571
WS 2012/13;SF277;Wirtschaftsinformatik;6211;1529;7740;627;418;1045;6838;1947;8785
WS 2013/14;SF221;Bioinformatik;189;116;305;28;34;62;217;150;367
WS 2013/14;SF079;Informatik;9638;1530;11168;2134;749;2883;11772;2279;14051
WS 2013/14;SF123;Ingenieurinformatik/Technische Informatik;1369;169;1538;257;76;333;1626;245;1871
WS 2013/14;SF121;Medieninformatik;1607;838;2445;148;100;248;1755;938;2693
WS 2013/14;SF247;Medizinische Informatik;206;186;392;43;66;109;249;252;501
WS 2013/14;SF277;Wirtschaftsinformatik;6169;1520;7689;677;365;1042;6846;1885;8731
__________
(C)opyright Statistisches Bundesamt, Wiesbaden 2014
Stand: 06.11.2014 / 07:24:41
