Semester;Bundesländer;Studienfach;Deutsche Männlich;Deutsche Weiblich;Deutsche Insgesamt;Aulsänder Männlich;Ausländer Weiblich;Ausländer Insgesamt;Männlich Insgesamt;Weiblich Insgesamt;Insgesamt
WS 1998/99;Baden-W¸rttemberg;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Baden-W¸rttemberg;Informatik;792;97;889;161;59;220;953;156;1109
WS 1998/99;Baden-W¸rttemberg;Ingenieurinformatik/Technische Informatik;254;17;271;25;6;31;279;23;302
WS 1998/99;Baden-W¸rttemberg;Medieninformatik;56;14;70;12;4;16;68;18;86
WS 1998/99;Baden-W¸rttemberg;Medizinische Informatik;47;42;89;4;4;8;51;46;97
WS 1998/99;Baden-W¸rttemberg;Wirtschaftsinformatik;320;63;383;30;21;51;350;84;434
WS 1998/99;Baden-W¸rttemberg;Wirtschaftsmathematik;69;42;111;6;6;12;75;48;123
WS 1998/99;Bayern;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bayern;Informatik;1093;168;1261;178;64;242;1271;232;1503
WS 1998/99;Bayern;Ingenieurinformatik/Technische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bayern;Medieninformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bayern;Medizinische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bayern;Wirtschaftsinformatik;127;36;163;6;8;14;133;44;177
WS 1998/99;Bayern;Wirtschaftsmathematik;29;16;45;5;2;7;34;18;52
WS 1998/99;Berlin;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Berlin;Informatik;391;79;470;101;28;129;492;107;599
WS 1998/99;Berlin;Ingenieurinformatik/Technische Informatik;244;23;267;38;5;43;282;28;310
WS 1998/99;Berlin;Medieninformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Berlin;Medizinische Informatik;1;-;1;-;-;-;1;-;1
WS 1998/99;Berlin;Wirtschaftsinformatik;74;16;90;7;2;9;81;18;99
WS 1998/99;Berlin;Wirtschaftsmathematik;29;31;60;2;6;8;31;37;68
WS 1998/99;Brandenburg;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Brandenburg;Informatik;250;30;280;20;6;26;270;36;306
WS 1998/99;Brandenburg;Ingenieurinformatik/Technische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Brandenburg;Medieninformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Brandenburg;Medizinische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Brandenburg;Wirtschaftsinformatik;82;16;98;-;-;-;82;16;98
WS 1998/99;Brandenburg;Wirtschaftsmathematik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bremen;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bremen;Informatik;107;20;127;17;7;24;124;27;151
WS 1998/99;Bremen;Ingenieurinformatik/Technische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bremen;Medieninformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bremen;Medizinische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bremen;Wirtschaftsinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Bremen;Wirtschaftsmathematik;-;-;-;-;-;-;-;-;-
WS 1998/99;Hamburg;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Hamburg;Informatik;131;16;147;16;4;20;147;20;167
WS 1998/99;Hamburg;Ingenieurinformatik/Technische Informatik;109;9;118;23;6;29;132;15;147
WS 1998/99;Hamburg;Medieninformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Hamburg;Medizinische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Hamburg;Wirtschaftsinformatik;30;6;36;8;2;10;38;8;46
WS 1998/99;Hamburg;Wirtschaftsmathematik;28;17;45;4;1;5;32;18;50
WS 1998/99;Hessen;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Hessen;Informatik;764;110;874;141;69;210;905;179;1084
WS 1998/99;Hessen;Ingenieurinformatik/Technische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Hessen;Medieninformatik;13;2;15;-;1;1;13;3;16
WS 1998/99;Hessen;Medizinische Informatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Hessen;Wirtschaftsinformatik;79;5;84;7;2;9;86;7;93
WS 1998/99;Hessen;Wirtschaftsmathematik;7;8;15;1;-;1;8;8;16
WS 1998/99;Mecklenburg-Vorpommern;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;Mecklenburg-Vorpommern;Informatik;87;7;94;4;-;4;91;7;98
WS 1998/99;Mecklenburg-Vorpommern;Ingenieurinformatik/Technische Informatik;62;-;62;1;-;1;63;-;63
WS 1998/99;Mecklenburg-Vorpommern;Medieninformatik;-;-;-;-;-;-;-;-;-
