Semester;Bundesland;Deutsche Männlich;Deutsche Weiblich;Deutsche Insgesamt;Ausländer Männlich;Ausländer Weiblich;Ausländer Insgesamt;Männlich Insgesamt;Weiblich Insgesamt;Insgesamt
WS 1998/99;Baden-W¸rttemberg;97587;69435;167022;11624;9866;21490;109211;79301;188512
WS 1999/00;Baden-W¸rttemberg;94622;70791;165413;12781;10961;23742;107403;81752;189155
WS 2000/01;Baden-W¸rttemberg;95519;73934;169453;13977;12256;26233;109496;86190;195686
WS 2001/02;Baden-W¸rttemberg;97923;79056;176979;15160;14062;29222;113083;93118;206201
WS 2002/03;Baden-W¸rttemberg;100344;84873;185217;16785;15782;32567;117129;100655;217784
WS 2003/04;Baden-W¸rttemberg;105687;90327;196014;17949;17359;35308;123636;107686;231322
WS 2004/05;Baden-W¸rttemberg;109208;94037;203245;18219;18330;36549;127427;112367;239794
WS 2005/06;Baden-W¸rttemberg;111530;96707;208237;18093;18288;36381;129623;114995;244618
WS 2006/07;Baden-W¸rttemberg;111893;97465;209358;17761;18024;35785;129654;115489;245143
WS 2007/08;Baden-W¸rttemberg;107295;93066;200361;16448;16643;33091;123743;109709;233452
WS 2008/09;Baden-W¸rttemberg;121827;105315;227142;16920;17262;34182;138747;122577;261324
WS 2009/10;Baden-W¸rttemberg;129452;112859;242311;17526;17530;35056;146978;130389;277367
WS 2010/11;Baden-W¸rttemberg;135376;118838;254214;18216;17856;36072;153592;136694;290286
WS 2011/12;Baden-W¸rttemberg;146698;124687;271385;18678;18276;36954;165376;142963;308339
WS 2012/13;Baden-W¸rttemberg;157868;135040;292908;20528;19781;40309;178396;154821;333217
WS 2013/14;Baden-W¸rttemberg;163290;141159;304449;21772;20978;42750;185062;162137;347199
WS 1998/99;Bayern;118148;96686;214834;9316;8966;18282;127464;105652;233116
WS 1999/00;Bayern;104791;87353;192144;9277;9353;18630;114068;96706;210774
WS 2000/01;Bayern;103873;89026;192899;9918;10483;20401;113791;99509;213300
WS 2001/02;Bayern;104891;91844;196735;10965;12120;23085;115856;103964;219820
WS 2002/03;Bayern;107418;97146;204564;11900;13970;25870;119318;111116;230434
WS 2003/04;Bayern;113611;103025;216636;12570;15617;28187;126181;118642;244823
WS 2004/05;Bayern;114667;105738;220405;12604;16122;28726;127271;121860;249131
WS 2005/06;Bayern;116161;107404;223565;12645;16288;28933;128806;123692;252498
WS 2006/07;Bayern;118865;109858;228723;12785;16390;29175;131650;126248;257898
WS 2007/08;Bayern;117614;108509;226123;12190;15053;27243;129804;123562;253366
WS 2008/09;Bayern;120519;111392;231911;12266;14662;26928;132785;126054;258839
WS 2009/10;Bayern;126856;118279;245135;12603;14928;27531;139459;133207;272666
WS 2010/11;Bayern;133359;125465;258824;13381;15227;28608;146740;140692;287432
WS 2011/12;Bayern;151682;138170;289852;14393;16073;30466;166075;154243;320318
WS 2012/13;Bayern;156534;143685;300219;15472;17073;32545;172006;160758;332764
WS 2013/14;Bayern;166156;152921;319077;17827;19011;36838;183983;171932;355915
WS 1998/99;Berlin;59070;56014;115084;9190;7501;16691;68260;63515;131775
WS 1999/00;Berlin;58719;56908;115627;9417;8080;17497;68136;64988;133124
WS 2000/01;Berlin;57271;57783;115054;8929;8423;17352;66200;66206;132406
WS 2001/02;Berlin;59153;60544;119697;9469;9228;18697;68622;69772;138394
WS 2002/03;Berlin;59522;61247;120769;9549;9859;19408;69071;71106;140177
WS 2003/04;Berlin;61369;61937;123306;9812;10422;20234;71181;72359;143540
WS 2004/05;Berlin;60153;60219;120372;9878;10760;20638;70031;70979;141010
WS 2005/06;Berlin;58521;57774;116295;9713;10709;20422;68234;68483;136717
WS 2006/07;Berlin;57202;55391;112593;9638;10591;20229;66840;65982;132822
WS 2007/08;Berlin;57866;55853;113719;9711;11074;20785;67577;66927;134504
WS 2008/09;Berlin;58281;55417;113698;10069;11560;21629;68350;66977;135327
WS 2009/10;Berlin;60472;57232;117704;10532;11834;22366;71004;69066;140070
