Semester;Bundesland;Studienfach;Deutsche Männlich;Deutsche Weiblich;Deutsche Gesamt;Ausländer Männlich;Ausländer Weiblich;Ausländer Insgesamt;Insgesamt
WS 1998/99;Baden-Württemberg;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Baden-Württemberg;Informatik;4036;354;4390;561;177;738;5128
WS 1998/99;Baden-Württemberg;Ingenieurinformatik/Technische Informatik;1084;49;1133;113;19;132;1265
WS 1998/99;Baden-Württemberg;Medieninformatik;317;55;372;25;6;31;403
WS 1998/99;Baden-Württemberg;Medizinische Informatik;536;232;768;42;26;68;836
WS 1998/99;Baden-Württemberg;Wirtschaftsinformatik;1681;219;1900;164;68;232;2132
WS 1998/99;Bayern;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Bayern;Informatik;5542;665;6207;729;202;931;7138
WS 1998/99;Bayern;Ingenieurinformatik/Technische Informatik;-;-;-;-;-;-;-
WS 1998/99;Bayern;Medieninformatik;-;-;-;-;-;-;-
WS 1998/99;Bayern;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Bayern;Wirtschaftsinformatik;608;79;687;32;23;55;742
WS 1998/99;Berlin;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Berlin;Informatik;2414;378;2792;562;209;771;3563
WS 1998/99;Berlin;Ingenieurinformatik/Technische Informatik;1048;90;1138;298;34;332;1470
WS 1998/99;Berlin;Medieninformatik;-;-;-;-;-;-;-
WS 1998/99;Berlin;Medizinische Informatik;44;19;63;7;3;10;73
WS 1998/99;Berlin;Wirtschaftsinformatik;407;89;496;66;24;90;586
WS 1998/99;Brandenburg;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Brandenburg;Informatik;852;192;1044;45;16;61;1105
WS 1998/99;Brandenburg;Ingenieurinformatik/Technische Informatik;-;-;-;-;-;-;-
WS 1998/99;Brandenburg;Medieninformatik;-;-;-;-;-;-;-
WS 1998/99;Brandenburg;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Brandenburg;Wirtschaftsinformatik;224;63;287;1;-;1;288
WS 1998/99;Bremen;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Bremen;Informatik;884;121;1005;118;32;150;1155
WS 1998/99;Bremen;Ingenieurinformatik/Technische Informatik;262;7;269;38;1;39;308
WS 1998/99;Bremen;Medieninformatik;-;-;-;-;-;-;-
WS 1998/99;Bremen;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Bremen;Wirtschaftsinformatik;-;-;-;-;-;-;-
WS 1998/99;Hamburg;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Hamburg;Informatik;1437;165;1602;158;41;199;1801
WS 1998/99;Hamburg;Ingenieurinformatik/Technische Informatik;816;54;870;156;40;196;1066
WS 1998/99;Hamburg;Medieninformatik;-;-;-;-;-;-;-
WS 1998/99;Hamburg;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Hamburg;Wirtschaftsinformatik;39;7;46;11;2;13;59
WS 1998/99;Hessen;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Hessen;Informatik;4855;695;5550;932;321;1253;6803
WS 1998/99;Hessen;Ingenieurinformatik/Technische Informatik;-;-;-;-;-;-;-
WS 1998/99;Hessen;Medieninformatik;14;2;16;-;1;1;17
WS 1998/99;Hessen;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Hessen;Wirtschaftsinformatik;418;30;448;58;22;80;528
WS 1998/99;Mecklenburg-Vorpommern;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Mecklenburg-Vorpommern;Informatik;358;60;418;9;1;10;428
WS 1998/99;Mecklenburg-Vorpommern;Ingenieurinformatik/Technische Informatik;183;11;194;9;1;10;204
WS 1998/99;Mecklenburg-Vorpommern;Medieninformatik;-;-;-;-;-;-;-
WS 1998/99;Mecklenburg-Vorpommern;Medizinische Informatik;12;14;26;-;-;-;26
WS 1998/99;Mecklenburg-Vorpommern;Wirtschaftsinformatik;409;98;507;11;2;13;520
WS 1998/99;Niedersachsen;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Niedersachsen;Informatik;2079;209;2288;179;47;226;2514
WS 1998/99;Niedersachsen;Ingenieurinformatik/Technische Informatik;81;1;82;14;3;17;99
WS 1998/99;Niedersachsen;Medieninformatik;41;21;62;3;-;3;65
WS 1998/99;Niedersachsen;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Niedersachsen;Wirtschaftsinformatik;1045;183;1228;96;41;137;1365
WS 1998/99;Nordrhein-Westfalen;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Nordrhein-Westfalen;Informatik;10637;1491;12128;1293;279;1572;13700
WS 1998/99;Nordrhein-Westfalen;Ingenieurinformatik/Technische Informatik;454;19;473;70;9;79;552
WS 1998/99;Nordrhein-Westfalen;Medieninformatik;-;-;-;-;-;-;-
WS 1998/99;Nordrhein-Westfalen;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Nordrhein-Westfalen;Wirtschaftsinformatik;2934;313;3247;362;101;463;3710
WS 1998/99;Rheinland-Pfalz;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Rheinland-Pfalz;Informatik;1889;176;2065;192;48;240;2305
WS 1998/99;Rheinland-Pfalz;Ingenieurinformatik/Technische Informatik;85;7;92;11;2;13;105
WS 1998/99;Rheinland-Pfalz;Medieninformatik;136;23;159;6;2;8;167
WS 1998/99;Rheinland-Pfalz;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Rheinland-Pfalz;Wirtschaftsinformatik;107;15;122;5;2;7;129
WS 1998/99;Saarland;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Saarland;Informatik;1010;84;1094;117;23;140;1234
WS 1998/99;Saarland;Ingenieurinformatik/Technische Informatik;-;-;-;-;-;-;-
WS 1998/99;Saarland;Medieninformatik;-;-;-;-;-;-;-
WS 1998/99;Saarland;Medizinische Informatik;-;-;-;-;-;-;-
WS 1998/99;Saarland;Wirtschaftsinformatik;-;-;-;-;-;-;-
WS 1998/99;Sachsen;Bioinformatik;-;-;-;-;-;-;-
WS 1998/99;Sachsen;Informatik;2249;259;2508;168;50;218;2726
WS 1998/99;Sachsen;Ingenieurinformatik/Technische Informatik;111;9;120;1;-;1;121
