GENESIS-Tabelle: Temporär
Studienanfänger: Bundesländer, Semester, Nationalität,;;;;;;;;;;
Geschlecht;;;;;;;;;;
Statistik der Studenten;;;;;;;;;;
Studienanfänger (Anzahl);;;;;;;;;;
;;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
Baden-Württemberg;WS 1998/99;12966;10170;23136;2580;2878;5458;15546;13048;28594
Baden-Württemberg;WS 1999/00;13775;11988;25763;3337;3409;6746;17112;15397;32509
Baden-Württemberg;WS 2000/01;15696;13391;29087;3580;3702;7282;19276;17093;36369
Baden-Württemberg;WS 2001/02;17040;14816;31856;3894;4146;8040;20934;18962;39896
Baden-Württemberg;WS 2002/03;16670;15542;32212;4252;4478;8730;20922;20020;40942
Baden-Württemberg;WS 2003/04;18772;15599;34371;4346;4736;9082;23118;20335;43453
Baden-Württemberg;WS 2004/05;17264;14928;32192;3929;4467;8396;21193;19395;40588
Baden-Württemberg;WS 2005/06;17086;14870;31956;3925;4098;8023;21011;18968;39979
Baden-Württemberg;WS 2006/07;16484;15019;31503;3687;4064;7751;20171;19083;39254
Baden-Württemberg;WS 2007/08;16705;15318;32023;3438;3883;7321;20143;19201;39344
Baden-Württemberg;WS 2008/09;22822;20328;43150;4166;4404;8570;26988;24732;51720
Baden-Württemberg;WS 2009/10;24412;22251;46663;4472;4717;9189;28884;26968;55852
Baden-Württemberg;WS 2010/11;25127;23024;48151;4784;4937;9721;29911;27961;57872
Baden-Württemberg;WS 2011/12;31491;25025;56516;5057;5264;10321;36548;30289;66837
Baden-Württemberg;WS 2012/13;30018;26326;56344;5882;5967;11849;35900;32293;68193
Baden-Württemberg;WS 2013/14;28290;25559;53849;5948;6203;12151;34238;31762;66000
Bayern;WS 1998/99;15300;13325;28625;2003;2505;4508;17303;15830;33133
Bayern;WS 1999/00;16410;14284;30694;2213;2763;4976;18623;17047;35670
Bayern;WS 2000/01;17174;15327;32501;2561;3153;5714;19735;18480;38215
Bayern;WS 2001/02;18695;16423;35118;2958;3750;6708;21653;20173;41826
Bayern;WS 2002/03;18405;18008;36413;2913;3860;6773;21318;21868;43186
Bayern;WS 2003/04;21548;18170;39718;2806;3922;6728;24354;22092;46446
Bayern;WS 2004/05;19621;18493;38114;2879;3719;6598;22500;22212;44712
Bayern;WS 2005/06;20529;18582;39111;2965;3733;6698;23494;22315;45809
Bayern;WS 2006/07;20856;19592;40448;3100;3827;6927;23956;23419;47375
Bayern;WS 2007/08;21737;20232;41969;2970;3676;6646;24707;23908;48615
Bayern;WS 2008/09;22433;21396;43829;3183;3730;6913;25616;25126;50742
Bayern;WS 2009/10;24002;23403;47405;3302;4002;7304;27304;27405;54709
Bayern;WS 2010/11;26137;25560;51697;3823;4292;8115;29960;29852;59812
Bayern;WS 2011/12;34075;29419;63494;4323;4903;9226;38398;34322;72720
Bayern;WS 2012/13;27523;26338;53861;4763;5398;10161;32286;31736;64022
Bayern;WS 2013/14;28199;27002;55201;5610;5998;11608;33809;33000;66809
Berlin;WS 1998/99;5807;5924;11731;1257;1450;2707;7064;7374;14438
Berlin;WS 1999/00;5826;6310;12136;1388;1675;3063;7214;7985;15199
Berlin;WS 2000/01;6030;6775;12805;1419;1840;3259;7449;8615;16064
Berlin;WS 2001/02;6714;7007;13721;1574;2227;3801;8288;9234;17522
Berlin;WS 2002/03;6479;6778;13257;1708;2240;3948;8187;9018;17205
Berlin;WS 2003/04;6659;6072;12731;1796;2268;4064;8455;8340;16795
Berlin;WS 2004/05;5907;5398;11305;1863;2432;4295;7770;7830;15600
Berlin;WS 2005/06;5893;5534;11427;1911;2502;4413;7804;8036;15840
Berlin;WS 2006/07;6103;5991;12094;2060;2639;4699;8163;8630;16793
Berlin;WS 2007/08;6845;6664;13509;2132;2990;5122;8977;9654;18631
Berlin;WS 2008/09;6930;6640;13570;2362;3145;5507;9292;9785;19077
Berlin;WS 2009/10;7360;7325;14685;2587;3366;5953;9947;10691;20638
Berlin;WS 2010/11;7731;7958;15689;2841;3851;6692;10572;11809;22381
Berlin;WS 2011/12;8875;8127;17002;3150;4134;7284;12025;12261;24286
Berlin;WS 2012/13;8544;8721;17265;3194;4336;7530;11738;13057;24795
Berlin;WS 2013/14;8159;8490;16649;3487;4329;7816;11646;12819;24465
Brandenburg;WS 1998/99;2318;2341;4659;332;422;754;2650;2763;5413
Brandenburg;WS 1999/00;2470;2530;5000;466;504;970;2936;3034;5970
Brandenburg;WS 2000/01;2719;2567;5286;648;699;1347;3367;3266;6633
Brandenburg;WS 2001/02;2693;2821;5514;850;839;1689;3543;3660;7203
Brandenburg;WS 2002/03;2702;2864;5566;620;712;1332;3322;3576;6898
Brandenburg;WS 2003/04;3252;2743;5995;612;767;1379;3864;3510;7374
Brandenburg;WS 2004/05;2941;2838;5779;562;699;1261;3503;3537;7040
Brandenburg;WS 2005/06;2817;2616;5433;634;773;1407;3451;3389;6840
Brandenburg;WS 2006/07;2801;2867;5668;610;705;1315;3411;3572;6983
Brandenburg;WS 2007/08;3266;3417;6683;584;813;1397;3850;4230;8080
Brandenburg;WS 2008/09;3847;4016;7863;628;796;1424;4475;4812;9287
Brandenburg;WS 2009/10;4029;4054;8083;624;806;1430;4653;4860;9513
Brandenburg;WS 2010/11;3599;3749;7348;658;919;1577;4257;4668;8925
Brandenburg;WS 2011/12;3713;3457;7170;754;1043;1797;4467;4500;8967
Brandenburg;WS 2012/13;3445;3544;6989;919;1140;2059;4364;4684;9048
Brandenburg;WS 2013/14;2758;2971;5729;812;1074;1886;3570;4045;7615
Bremen;WS 1998/99;1500;1424;2924;198;180;378;1698;1604;3302
Bremen;WS 1999/00;1674;1580;3254;277;256;533;1951;1836;3787
Bremen;WS 2000/01;1896;1737;3633;322;324;646;2218;2061;4279
Bremen;WS 2001/02;2162;2111;4273;474;414;888;2636;2525;5161
Bremen;WS 2002/03;2059;2257;4316;453;453;906;2512;2710;5222
Bremen;WS 2003/04;2390;2029;4419;532;552;1084;2922;2581;5503
Bremen;WS 2004/05;2244;2081;4325;579;525;1104;2823;2606;5429
Bremen;WS 2005/06;2116;1992;4108;525;496;1021;2641;2488;5129
Bremen;WS 2006/07;1930;1835;3765;524;490;1014;2454;2325;4779
Bremen;WS 2007/08;2226;2074;4300;563;514;1077;2789;2588;5377
Bremen;WS 2008/09;2401;2178;4579;529;512;1041;2930;2690;5620
